# Name: ascii_cat;
# Creation Date: 2022-07-20T11:46:46.196135;
# Description: Catalogue of events resulting from the HelioNER code (Dablanc & Génot, "https://github.com/ADablanc/BibHelioTech.git") on the papers mentionning Cluster-1 as listed in the third column by their DOI. The two first columns are the start/stop times of the event; the fourth column is the Cluster-1 with the list of instruments (1 or more) listed in the fifth column. The sixth column is the most probable region of space where the observation took place (SPASE ObservedRegions term).
# Parameter 1: id:column1; name:DOI; size:1; type:char;
# Parameter 2: id:column2; name:SATS; size:1; type:char;
# Parameter 3: id:column3; name:INSTS; size:1; type:char;
# Parameter 4: id:column4; name:REGS; size:1; type:char;
2001-03-31T18:02:17.495 2001-03-31T18:02:17.505 https://doi.org/10.1029/2003JA010056 "Cluster-1" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-07-03T05:47:55.495 2001-07-03T05:47:55.505 https://doi.org/10.3389/fspas.2021.760885 "Cluster-1" "" "Earth.Magnetosphere.Polar"
2001-07-03T05:47:55.495 2001-07-03T05:47:55.505 https://doi.org/10.3389/fspas.2021.760885 "Cluster-1" "" "Earth.Magnetosphere.Polar"
2001-09-30T18:02:17.495 2001-09-30T18:02:17.505 https://doi.org/10.1029/2003JA010056 "Cluster-1" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-09-30T18:02:55.000 2001-09-30T18:04:07.000 https://doi.org/10.1029/2003JA010056 "Cluster-1" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-11-20T09:30:00.000 2001-11-20T23:30:00.000 https://doi.org/10.1038/nature02799 "Cluster-1" "" "Heliosphere.NearEarth"
2001-11-20T20:40:00.000 2001-11-20T20:40:59.000 https://doi.org/10.1038/nature02799 "Cluster-1" "" "Heliosphere.NearEarth"
2002-08-18T15:00:00.000 2002-08-18T18:00:00.000 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:00:00.000 2002-08-18T17:00:59.000 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "" "Earth.Magnetosphere.Main"
2002-08-18T17:00:00.495 2002-08-18T17:00:00.505 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:05:00.000 2002-08-18T17:35:00.000 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:05:00.000 2002-08-18T17:35:00.000 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:06:40.000 2002-08-18T17:09:45.000 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:07:00.495 2002-08-18T17:07:00.505 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:07:40.495 2002-08-18T17:07:40.505 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:08:00.495 2002-08-18T17:08:00.505 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2002-08-18T17:12:00.495 2002-08-18T17:12:00.505 https://doi.org/10.5194/angeo-29-1571-2011 "Cluster-1" "HIA,CODIF,EFW,CIS" "Earth.Magnetosphere.Main"
2005-01-15T08:00:00.000 2005-01-15T08:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Main"
2005-01-15T08:00:00.000 2005-01-15T08:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Main"
2005-02-06T11:00:00.000 2005-02-06T11:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2005-02-06T14:00:00.000 2005-02-06T14:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2005-02-06T17:00:00.000 2005-02-06T17:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2008-05-12T14:00:00.000 2008-05-12T14:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Main"
2008-05-12T17:00:00.000 2008-05-12T17:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Main"
2015-09-01T00:00:00.000 2019-07-28T23:59:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2015-09-01T00:00:00.000 2019-07-28T23:59:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T19:00:00.000 2016-08-13T19:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T19:00:00.000 2016-08-13T19:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T19:00:00.000 2016-08-13T19:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T19:00:00.000 2016-08-13T19:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T19:00:00.000 2016-08-13T19:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T20:04:00.000 2016-08-13T20:07:00.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T20:04:00.000 2016-08-13T20:07:00.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T20:04:00.000 2016-08-13T20:07:00.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
2016-08-13T22:00:00.000 2016-08-13T22:00:59.000 https://doi.org/10.1029/2021JA029773 "Cluster-1" "HIA,FGM" "Earth.Magnetosphere.Polar"
