# Name: ascii_cat;
# Creation Date: 2022-07-20T11:46:46.195059;
# Description: Catalogue of events resulting from the HelioNER code (Dablanc & Génot, "https://github.com/ADablanc/BibHelioTech.git") on the papers mentionning Cluster as listed in the third column by their DOI. The two first columns are the start/stop times of the event; the fourth column is the Cluster with the list of instruments (1 or more) listed in the fifth column. The sixth column is the most probable region of space where the observation took place (SPASE ObservedRegions term).
# Parameter 1: id:column1; name:DOI; size:1; type:char;
# Parameter 2: id:column2; name:SATS; size:1; type:char;
# Parameter 3: id:column3; name:INSTS; size:1; type:char;
# Parameter 4: id:column4; name:REGS; size:1; type:char;
2001-02-04T01:36:00.000 2001-02-04T22:02:00.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-02-04T01:36:00.000 2001-02-04T22:02:00.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-02-04T01:36:00.000 2001-02-04T01:36:59.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-02-04T01:36:00.000 2001-02-04T01:36:59.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-02-04T21:30:00.000 2001-02-04T21:30:59.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-02-04T21:30:00.000 2001-02-04T21:30:59.000 https://doi.org/ "Cluster" "HIA,FGM,STAFF" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T01:48:00.000 2001-03-31T02:27:00.000 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T18:02:17.495 2001-03-31T18:02:17.505 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-03-31T18:02:17.495 2001-03-31T18:02:17.505 https://doi.org/10.1029/2003JA010056 "Cluster" "STAFF,CIS,WHISPER,FGM,PEACE" "Earth.Magnetosphere.Main"
2001-07-03T05:47:55.495 2001-07-03T05:47:55.505 https://doi.org/10.3389/fspas.2021.760885 "Cluster" "" "Earth.Magnetosphere.Polar"
