# Name: ascii_cat;
# Creation Date: 2022-07-20T11:46:46.197870;
# Description: Catalogue of events resulting from the HelioNER code (Dablanc & Génot, "https://github.com/ADablanc/BibHelioTech.git") on the papers mentionning SolarOrbiter as listed in the third column by their DOI. The two first columns are the start/stop times of the event; the fourth column is the SolarOrbiter with the list of instruments (1 or more) listed in the fifth column. The sixth column is the most probable region of space where the observation took place (SPASE ObservedRegions term).
# Parameter 1: id:column1; name:DOI; size:1; type:char;
# Parameter 2: id:column2; name:SATS; size:1; type:char;
# Parameter 3: id:column3; name:INSTS; size:1; type:char;
# Parameter 4: id:column4; name:REGS; size:1; type:char;
2020-07-01T00:00:00.000 2020-11-28T23:59:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-01T00:00:00.000 2020-11-28T23:59:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-01T00:00:00.000 2020-11-28T23:59:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-01T00:00:00.000 2020-11-28T23:59:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T01:50:00.000 2020-07-11T01:50:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T01:50:00.000 2020-07-11T01:50:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:10:00.000 2020-07-11T02:10:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:30:00.000 2020-07-11T02:30:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:30:00.000 2020-07-11T02:30:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:30:00.000 2020-07-11T02:30:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:30:00.000 2020-07-11T02:30:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:40:00.000 2020-07-11T02:40:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:50:00.000 2020-07-11T02:50:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-11T02:50:00.000 2020-07-11T02:50:59.000 https://doi.org/10.1051/0004-6361/202140998 "SolarOrbiter" "RPW" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:00:00.000 2020-07-16T00:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:04:00.000 2020-07-16T00:04:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:04:00.000 2020-07-16T00:04:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T00:04:00.000 2020-07-16T00:04:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T04:00:00.000 2020-07-16T04:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T08:00:00.000 2020-07-16T08:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T09:30:00.000 2020-07-16T09:30:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T09:30:00.000 2020-07-16T09:30:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:40:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:38:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:38:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:38:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T12:35:00.000 2020-07-16T12:38:00.000 https://doi.org/10.1051/0004-6361/202140944 "SolarOrbiter" "SWA,PAS,MAG,EAS" "Heliosphere.Inner"
2020-07-16T18:10:00.000 2020-07-16T18:10:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T18:10:00.000 2020-07-16T18:10:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T18:35:00.495 2020-07-16T18:35:00.505 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T18:35:00.495 2020-07-16T18:35:00.505 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-07-16T20:00:00.000 2020-07-16T20:00:59.000 https://doi.org/10.1051/0004-6361/202141149 "SolarOrbiter" "SWA,PAS,MAG" "Heliosphere.Inner"
2020-10-10T04:24:00.000 2020-10-10T04:24:59.000 https://doi.org/10.5194/angeo-39-811-2021 "SolarOrbiter" "MAG" "Heliosphere.Inner"
2020-10-10T04:24:00.000 2020-10-10T04:24:59.000 https://doi.org/10.5194/angeo-39-811-2021 "SolarOrbiter" "MAG" "Heliosphere.Inner"
